##Databases: KEGG PATHWAY, Gene Ontology								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
cellular_component	Gene Ontology	GO:0005575	4	619	0.862620072516	0.92306829505	Barthea41260|Barthea12143|Barthea41238|Barthea41237	http://amigo.geneontology.org/amigo/term/GO:0005575
transcription regulatory region sequence-specific DNA binding	Gene Ontology	GO:0000976	7	993	0.862945072767	0.92306829505	Barthea29229|Barthea22851|Barthea20964|Barthea13822|Barthea20995|Barthea20998|Barthea22913	http://amigo.geneontology.org/amigo/term/GO:0000976
cell division	Gene Ontology	GO:0051301	1	201	0.864628523222	0.923607276511	Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0051301
leaf development	Gene Ontology	GO:0048366	2	357	0.869445241449	0.926706650117	Barthea12174|Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0048366
circadian rhythm	Gene Ontology	GO:0007623	1	205	0.869897047045	0.926706650117	Barthea41244	http://amigo.geneontology.org/amigo/term/GO:0007623
seed germination	Gene Ontology	GO:0009845	1	206	0.871181899258	0.926814439021	Barthea25073	http://amigo.geneontology.org/amigo/term/GO:0009845
plant-type cell wall	Gene Ontology	GO:0009505	2	362	0.87442345475	0.929000766716	Barthea29163|Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0009505
oxidation-reduction process	Gene Ontology	GO:0055114	6	890	0.875887640158	0.929295423095	Barthea41265|Barthea29175|Barthea13815|Barthea22844|Barthea37786|Barthea37787	http://amigo.geneontology.org/amigo/term/GO:0055114
endoplasmic reticulum	Gene Ontology	GO:0005783	11	1502	0.880708924368	0.93314626222	Barthea13825|Barthea29164|Barthea41244|Barthea13806|Barthea13805|Barthea13810|Barthea39535|Barthea22895|Barthea29233|Barthea20975|Barthea12175	http://amigo.geneontology.org/amigo/term/GO:0005783
regulation of transcription, DNA-templated	Gene Ontology	GO:0006355	21	2662	0.885171257022	0.936606884119	Barthea29177|Barthea41266|Barthea41267|Barthea20856|Barthea13796|Barthea20964|Barthea13822|Barthea37805|Barthea25061|Barthea22894|Barthea20829|Barthea20997|Barthea20995|Barthea12158|Barthea22862|Barthea29244|Barthea20999|Barthea20998|Barthea20832|Barthea22913|Barthea22851	http://amigo.geneontology.org/amigo/term/GO:0006355
GTP binding	Gene Ontology	GO:0005525	1	219	0.886777156882	0.937039829741	Barthea22843	http://amigo.geneontology.org/amigo/term/GO:0005525
RNA polymerase II cis-regulatory region sequence-specific DNA binding	Gene Ontology	GO:0000978	1	227	0.895422693559	0.944900227839	Barthea20831	http://amigo.geneontology.org/amigo/term/GO:0000978
unfolded protein binding	Gene Ontology	GO:0051082	1	229	0.897479134534	0.945795642449	Barthea12152	http://amigo.geneontology.org/amigo/term/GO:0051082
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Gene Ontology	GO:0016705	1	233	0.901471778495	0.947452889345	Barthea22842	http://amigo.geneontology.org/amigo/term/GO:0016705
proteolysis	Gene Ontology	GO:0006508	1	238	0.906245141078	0.951192956386	Barthea12152	http://amigo.geneontology.org/amigo/term/GO:0006508
heme binding	Gene Ontology	GO:0020037	3	556	0.91371974883	0.957529987167	Barthea37773|Barthea22844|Barthea22842	http://amigo.geneontology.org/amigo/term/GO:0020037
defense response to fungus	Gene Ontology	GO:0050832	2	411	0.914728519031	0.957529987167	Barthea12158|Barthea39509	http://amigo.geneontology.org/amigo/term/GO:0050832
Golgi apparatus	Gene Ontology	GO:0005794	18	2419	0.91871182392	0.95866476115	Barthea13825|Barthea12171|Barthea29163|Barthea41267|Barthea29164|Barthea13823|Barthea22855|Barthea39557|Barthea37790|Barthea39535|Barthea22890|Barthea41238|Barthea39546|Barthea22895|Barthea12156|Barthea22889|Barthea41266|Barthea22912	http://amigo.geneontology.org/amigo/term/GO:0005794
integral component of membrane	Gene Ontology	GO:0016021	1	255	0.920814245199	0.95866476115	Barthea12179	http://amigo.geneontology.org/amigo/term/GO:0016021
vegetative to reproductive phase transition of meristem	Gene Ontology	GO:0010228	1	256	0.921597192691	0.95866476115	Barthea41236	http://amigo.geneontology.org/amigo/term/GO:0010228
ATPase activity	Gene Ontology	GO:0016887	3	573	0.923447405803	0.958964613719	Barthea20839|Barthea39557|Barthea12152	http://amigo.geneontology.org/amigo/term/GO:0016887
chloroplast thylakoid	Gene Ontology	GO:0009534	2	438	0.93139957189	0.964381926489	Barthea37776|Barthea37775	http://amigo.geneontology.org/amigo/term/GO:0009534
host cell nucleus	Gene Ontology	GO:0042025	1	270	0.931781141902	0.964381926489	Barthea20831	http://amigo.geneontology.org/amigo/term/GO:0042025
cellular response to hypoxia	Gene Ontology	GO:0071456	2	442	0.93359067724	0.964381926489	Barthea37773|Barthea20829	http://amigo.geneontology.org/amigo/term/GO:0071456
anchored component of plasma membrane	Gene Ontology	GO:0046658	1	277	0.936366878825	0.965672904907	Barthea39517	http://amigo.geneontology.org/amigo/term/GO:0046658
secretory vesicle	Gene Ontology	GO:0099503	1	281	0.938847858442	0.965672904907	Barthea20975	http://amigo.geneontology.org/amigo/term/GO:0099503
protein folding	Gene Ontology	GO:0006457	1	282	0.939452875557	0.965672904907	Barthea12152	http://amigo.geneontology.org/amigo/term/GO:0006457
iron ion binding	Gene Ontology	GO:0005506	2	454	0.939773631595	0.965672904907	Barthea37773|Barthea22842	http://amigo.geneontology.org/amigo/term/GO:0005506
leaf senescence	Gene Ontology	GO:0010150	1	292	0.945184129279	0.969959597936	Barthea29180	http://amigo.geneontology.org/amigo/term/GO:0010150
intracellular membrane-bounded organelle	Gene Ontology	GO:0043231	2	478	0.950539295023	0.97417836126	Barthea39511|Barthea13815	http://amigo.geneontology.org/amigo/term/GO:0043231
carbohydrate metabolic process	Gene Ontology	GO:0005975	2	488	0.954460931113	0.976918835374	Barthea25084|Barthea32063	http://amigo.geneontology.org/amigo/term/GO:0005975
root development	Gene Ontology	GO:0048364	2	494	0.956669523222	0.977901092276	Barthea29233|Barthea39535	http://amigo.geneontology.org/amigo/term/GO:0048364
oxidoreductase activity	Gene Ontology	GO:0016491	2	533	0.968715419461	0.987179493214	Barthea12186|Barthea22844	http://amigo.geneontology.org/amigo/term/GO:0016491
GTPase activity	Gene Ontology	GO:0003924	1	351	0.969528774306	0.987179493214	Barthea22843	http://amigo.geneontology.org/amigo/term/GO:0003924
copper ion binding	Gene Ontology	GO:0005507	1	351	0.969528774306	0.987179493214	Barthea13823	http://amigo.geneontology.org/amigo/term/GO:0005507
protein autophosphorylation	Gene Ontology	GO:0046777	1	367	0.974018130675	0.989617719739	Barthea22861	http://amigo.geneontology.org/amigo/term/GO:0046777
response to auxin	Gene Ontology	GO:0009733	2	557	0.974451164648	0.989617719739	Barthea13806|Barthea13805	http://amigo.geneontology.org/amigo/term/GO:0009733
protein binding	Gene Ontology	GO:0005515	57	7261	0.980198340658	0.991361829535	Barthea41242|Barthea20856|Barthea39558|Barthea29177|Barthea39533|Barthea25083|Barthea25081|Barthea20964|Barthea39534|Barthea20993|Barthea25067|Barthea20997|Barthea20995|Barthea20999|Barthea20998|Barthea22861|Barthea22860|Barthea29242|Barthea29229|Barthea13796|Barthea25056|Barthea25073|Barthea12145|Barthea39501|Barthea20829|Barthea37788|Barthea13805|Barthea29176|Barthea39507|Barthea13820|Barthea41244|Barthea13822|Barthea13806|Barthea41248|Barthea20969|Barthea25098|Barthea39509|Barthea20975|Barthea20987|Barthea22916|Barthea22889|Barthea22907|Barthea12174|Barthea22851|Barthea29233|Barthea12177|Barthea25062|Barthea22853|Barthea29239|Barthea29238|Barthea20970|Barthea37805|Barthea22894|Barthea41233|Barthea20971|Barthea41236|Barthea20836	http://amigo.geneontology.org/amigo/term/GO:0005515
positive regulation of transcription, DNA-templated	Gene Ontology	GO:0045893	2	597	0.981828926441	0.991361829535	Barthea22894|Barthea29180	http://amigo.geneontology.org/amigo/term/GO:0045893
response to light stimulus	Gene Ontology	GO:0009416	1	403	0.981852002414	0.991361829535	Barthea25095	http://amigo.geneontology.org/amigo/term/GO:0009416
response to water deprivation	Gene Ontology	GO:0009414	2	607	0.983322596792	0.991361829535	Barthea41238|Barthea13820	http://amigo.geneontology.org/amigo/term/GO:0009414
response to heat	Gene Ontology	GO:0009408	1	415	0.98389905446	0.991361829535	Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0009408
cytoplasm	Gene Ontology	GO:0005737	58	7449	0.984349449289	0.991361829535	Barthea20957|Barthea20955|Barthea41273|Barthea12188|Barthea41270|Barthea25082|Barthea13815|Barthea13817|Barthea12181|Barthea13812|Barthea39534|Barthea20961|Barthea22906|Barthea13818|Barthea13819|Barthea21007|Barthea21005|Barthea22843|Barthea21003|Barthea29164|Barthea22905|Barthea29248|Barthea25076|Barthea22848|Barthea37782|Barthea37781|Barthea13806|Barthea13825|Barthea39507|Barthea29175|Barthea29172|Barthea20967|Barthea13809|Barthea22855|Barthea13810|Barthea13805|Barthea12182|Barthea22837|Barthea39558|Barthea22830|Barthea20987|Barthea21002|Barthea22916|Barthea22838|Barthea25081|Barthea21011|Barthea21010|Barthea22856|Barthea22904|Barthea29231|Barthea29230|Barthea29233|Barthea13824|Barthea25067|Barthea41233|Barthea22832|Barthea41251|Barthea41252	http://amigo.geneontology.org/amigo/term/GO:0005737
nucleus	Gene Ontology	GO:0005634	136	15851	0.986737801576	0.991361829535	Barthea20957|Barthea20955|Barthea20954|Barthea39512|Barthea39559|Barthea22867|Barthea22861|Barthea22860|Barthea22862|Barthea29242|Barthea29244|Barthea12166|Barthea29246|Barthea29248|Barthea39530|Barthea37782|Barthea37783|Barthea20829|Barthea37781|Barthea37786|Barthea37787|Barthea37784|Barthea20961|Barthea20964|Barthea13806|Barthea13805|Barthea13803|Barthea12158|Barthea12150|Barthea12151|Barthea29250|Barthea37795|Barthea37794|Barthea25100|Barthea37793|Barthea37792|Barthea22891|Barthea22894|Barthea22897|Barthea22898|Barthea41253|Barthea41242|Barthea37796|Barthea29177|Barthea25083|Barthea37779|Barthea25081|Barthea12147|Barthea13796|Barthea37805|Barthea37803|Barthea29176|Barthea25094|Barthea13821|Barthea13820|Barthea13822|Barthea39498|Barthea39499|Barthea39542|Barthea22834|Barthea20985|Barthea20987|Barthea12167|Barthea39549|Barthea22836|Barthea41236|Barthea20852|Barthea20850|Barthea20856|Barthea29164|Barthea39551|Barthea39550|Barthea20997|Barthea20995|Barthea20999|Barthea20998|Barthea22906|Barthea22907|Barthea22904|Barthea22905|Barthea22908|Barthea22909|Barthea39528|Barthea21011|Barthea41266|Barthea41267|Barthea41263|Barthea39520|Barthea39522|Barthea41268|Barthea41269|Barthea39526|Barthea22915|Barthea22916|Barthea22913|Barthea22877|Barthea25068|Barthea22851|Barthea25061|Barthea12177|Barthea22858|Barthea25065|Barthea12188|Barthea39533|Barthea12186|Barthea12180|Barthea21007|Barthea29229|Barthea21002|Barthea21003|Barthea25073|Barthea25076|Barthea29180|Barthea20849|Barthea20848|Barthea20845|Barthea20844|Barthea20846|Barthea39506|Barthea41244|Barthea41248|Barthea41249|Barthea39509|Barthea21005|Barthea12170|Barthea21010|Barthea29231|Barthea29230|Barthea29232|Barthea12178|Barthea22878|Barthea29239|Barthea29238|Barthea20831|Barthea20832|Barthea20836	http://amigo.geneontology.org/amigo/term/GO:0005634
identical protein binding	Gene Ontology	GO:0042802	1	443	0.987823784334	0.991361829535	Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0042802
biological_process	Gene Ontology	GO:0008150	37	5155	0.988207158904	0.991361829535	Barthea37776|Barthea39529|Barthea12184|Barthea39550|Barthea12183|Barthea22863|Barthea22847|Barthea22846|Barthea13797|Barthea25059|Barthea22908|Barthea25074|Barthea37783|Barthea12170|Barthea29174|Barthea39497|Barthea13821|Barthea39503|Barthea25093|Barthea29241|Barthea25099|Barthea12180|Barthea25068|Barthea22832|Barthea39545|Barthea22915|Barthea12151|Barthea22854|Barthea29234|Barthea37794|Barthea25063|Barthea41238|Barthea22898|Barthea22899|Barthea41237|Barthea41250|Barthea41235	http://amigo.geneontology.org/amigo/term/GO:0008150
sequence-specific DNA binding	Gene Ontology	GO:0043565	4	991	0.988829615411	0.991361829535	Barthea20832|Barthea22894|Barthea37784|Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0043565
DNA-binding transcription factor activity	Gene Ontology	GO:0003700	18	3081	0.995583210532	0.996856334842	Barthea29229|Barthea29244|Barthea12158|Barthea13822|Barthea37805|Barthea25061|Barthea29232|Barthea39509|Barthea13796|Barthea20829|Barthea22894|Barthea37784|Barthea22851|Barthea22862|Barthea20832|Barthea29180|Barthea22913|Barthea13820	http://amigo.geneontology.org/amigo/term/GO:0003700
cytosol	Gene Ontology	GO:0005829	46	6676	0.998087407481	0.998087407481	Barthea12188|Barthea41270|Barthea39533|Barthea13815|Barthea39557|Barthea13810|Barthea25084|Barthea39534|Barthea20995|Barthea20998|Barthea12144|Barthea39558|Barthea22847|Barthea22844|Barthea20964|Barthea25073|Barthea29184|Barthea37803|Barthea22860|Barthea37782|Barthea25083|Barthea20845|Barthea22889|Barthea20846|Barthea13824|Barthea41266|Barthea41267|Barthea29172|Barthea41244|Barthea39520|Barthea39522|Barthea22830|Barthea41254|Barthea12182|Barthea22838|Barthea22855|Barthea29231|Barthea12175|Barthea29232|Barthea37805|Barthea25059|Barthea30114|Barthea20831|Barthea41251|Barthea20836|Barthea41252	http://amigo.geneontology.org/amigo/term/GO:0005829
								
--------------------								
